course_title,course_link
First Aid Training Course,https://www.reed.co.uk/courses/first-aid-training-course/284858#/courses/discount?pageno=4
Construction Site Management Safety Training Scheme (SMSTS),https://www.reed.co.uk/courses/construction-site-management-safety-training-scheme-smsts/314073#/courses/discount?pageno=4
Minute Taking - CPD Certified Course,https://www.reed.co.uk/courses/minute-taking-cpd-certified-course/315199#/courses/discount?pageno=4
"Customer Service, KYC, CDD & Customer Relationship Management (CRM) Diploma",https://www.reed.co.uk/courses/customer-service-kyc-cdd-customer-relationship-management-crm-diploma/359151#/courses/discount?pageno=4
"Paediatric First Aid: CPR, Oxygen First Aid, Childcare & Nutrition",https://www.reed.co.uk/courses/paediatric-first-aid-cpr-oxygen-first-aid-childcare-nutrition/360305#/courses/discount?pageno=4
"Anti Money Laundering (AML), Know Your Client (KYC) and Risk Management Certificate",https://www.reed.co.uk/courses/anti-money-laundering-aml-know-your-client-kyc-and-risk-management-certificate/410956#/courses/discount?pageno=4
Level 3 Diploma in Health & Social Care - CPD Accredited,https://www.reed.co.uk/courses/level-3-diploma-in-health-social-care-cpd-accredited/479064#/courses/discount?pageno=4
PRINCE2® Foundation & Practitioner,https://www.reed.co.uk/courses/prince2-foundation-practitioner/480019#/courses/discount?pageno=4
Level 3 PTLLS or Level 3 AET Course Study From Home,https://www.reed.co.uk/courses/level-3-ptlls-or-level-3-aet-course-study-from-home/273392#/courses/discount?pageno=4
Health and Safety Level 3,https://www.reed.co.uk/courses/health-and-safety-level-3/270718#/courses/discount?pageno=4
QUALIFI Level 3 Diploma in Health and Social Care,https://www.reed.co.uk/courses/qualifi-level-3-diploma-in-health-and-social-care/199348#/courses/discount?pageno=4
Level 3 HACCP Training,https://www.reed.co.uk/courses/level-3-haccp-training/264322#/courses/discount?pageno=4
Level 3 Diploma in Mental Health,https://www.reed.co.uk/courses/level-3-diploma-in-mental-health/274677#/courses/discount?pageno=4
"Diploma in Childcare, Child Psychology, Child Protection, Child Safeguarding",https://www.reed.co.uk/courses/diploma-in-childcare-child-psychology-child-protection-child-safeguarding/280514#/courses/discount?pageno=4
Accounting & Finance Practical Training with Guaranteed Work Experience,https://www.reed.co.uk/courses/accounting-finance-practical-training-with-guaranteed-work-experience/323406#/courses/discount?pageno=5
"Microsoft Office Diploma: (Microsoft Excel, Word, PowerPoint) + Data Entry & Power BI",https://www.reed.co.uk/courses/microsoft-office-diploma-microsoft-excel-word-powerpoint--data-entry-power-bi/324270#/courses/discount?pageno=5
"UK Employment Law, Human Resources (HR) Management and Payroll - CPD Certified",https://www.reed.co.uk/courses/uk-employment-law-human-resources-hr-management-and-payroll-cpd-certified/340568#/courses/discount?pageno=5
